game,timestamp,type,anonymized,predicted_res_0
-E79qAYLfcU,0,whistle,Hello everyone and welcome to our live coverage of the early Sunday kickoff in Serie A as [TEAM] host [TEAM] and there's lots to look forward to here.,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
-E79qAYLfcU,8,,Both teams in great form.,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
-E79qAYLfcU,10,,The question is can [TEAM] continue their recent revival?,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
-E79qAYLfcU,19,,A little bit of a stretch for Perišić he couldn't get to the ball. Iliĉić has got it.,The referee blows his whistle for a foul after [PLAYER] ([TEAM]) overruns the ball. [TEAM] are awarded a free kick.
-E79qAYLfcU,24,,He just skips away from Brozović.,"[PLAYER] ([TEAM]) attempts to find [PLAYER], but puts far too much on the pass and the chance is gone. The ball goes out of play and [TEAM] will have a goal kick."
-E79qAYLfcU,26,,This is a really bright start here now for [TEAM].,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and blows his whistle.
-E79qAYLfcU,29,,Gómez with the layoff. This is [PLAYER].,The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The ball is out of play and the linesman points at the corner flag. Corner to [TEAM].
-E79qAYLfcU,32,,Good save Handanović. Great chance.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball to safety. The ball is off of the pitch and it's a goal kick for [TEAM]."
-E79qAYLfcU,34,,Brilliant double save by [PLAYER] the second one to [PLAYER]ny [PLAYER].,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
-E79qAYLfcU,47,,Moving away from Škriniar.,"[PLAYER] ([TEAM]) receives a precise pass inside the box from [PLAYER], but his effort on goal is blocked by the defence. The ball is out of play. [TEAM] will have a chance to score from a corner."
-E79qAYLfcU,50,,"Pressure really on, and great chance at the far post, and this time [PLAYER] does take the chance.",The linesman raises his flag and it's [PLAYER] ([TEAM]) who is flagged offside.
