game,timestamp,type,anonymized,predicted_res_0
-E79qAYLfcU,0,whistle,Hello everyone and welcome to our live coverage of the early Sunday kickoff in Serie A as [TEAM] host [TEAM] and there's lots to look forward to here.,[COACH] has decided to make a substitution. [PLAYER] will be replaced by [PLAYER] ([TEAM]).
-E79qAYLfcU,8,,Both teams in great form.,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
-E79qAYLfcU,10,,The question is can [TEAM] continue their recent revival?,The referee signals that it is time for a substitution and [PLAYER] ([TEAM]) is coming onto the pitch as [PLAYER] cannot continue after picking up an injury.
-E79qAYLfcU,19,,A little bit of a stretch for Perišić he couldn't get to the ball. Iliĉić has got it.,The referee blows his whistle to signal the start of the second half.
-E79qAYLfcU,24,,He just skips away from Brozović.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
-E79qAYLfcU,26,,This is a really bright start here now for [TEAM].,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
-E79qAYLfcU,29,,Gómez with the layoff. This is [PLAYER].,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball goes out of play. [TEAM] are awarded a corner kick."
-E79qAYLfcU,32,,Good save Handanović. Great chance.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] will have a chance to score from a corner."
-E79qAYLfcU,34,,Brilliant double save by [PLAYER] the second one to [PLAYER]ny [PLAYER].,The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The linesman makes the right call and [TEAM] will have a corner.
-E79qAYLfcU,47,,Moving away from Škriniar.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
-E79qAYLfcU,50,,"Pressure really on, and great chance at the far post, and this time [PLAYER] does take the chance.",[PLAYER] ([TEAM]) takes the corner but fails to find any of his teammates. The ball goes out of play and [TEAM] will have a goal kick.
-E79qAYLfcU,55,,[TEAM] have reward for their early dominance insi[PLAYER] the opening 10 minutes. They lead [TEAM] 1-0.,"It's in the back of the net! [PLAYER] plays a great pass to [PLAYER] ([TEAM]), who finds himself in a great position inside the box and fires the ball into the left side of the net. 2:0."
-E79qAYLfcU,62,whistle,Thoroughly [PLAYER]served. They've started absolutely brilliantly taking the game to [TEAM] from the first whistle.,Goal! [PLAYER] ([TEAM]) was in the right place to bury the ball into the back of the net from close range. It's 1:0.
-E79qAYLfcU,76,,"For the home team, advancing again.","The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets in the way of the ball and makes a brilliant clearance."
-E79qAYLfcU,77,,"[PLAYER] in. Oh, great chance for Iliĉić.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] will have a chance to score from a corner."
-E79qAYLfcU,80,,How on earth was that not two?,"The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets it clear."
-E79qAYLfcU,83,,What a chance.,"The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets it clear."
-E79qAYLfcU,90,,"Iliĉić, he's had a couple of chances in this first half.","The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets in the way of the cross."
