game,timestamp,type,anonymized,predicted_res_0
england_epl_2015-2016,2015-09-26 - 19-30 Newcastle Utd 2 - 2 Chelsea,1,1094,,The [TEAM] players are exchanging some short passes to try and open up the opposition’s defence and hit them swiftly on the break.,The [TEAM] players are exchanging some short passes to try and open up the opposition’s defence and hit them swiftly on the break.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2030,substitution,[COACH] has decided to make a change. [PLAYER] ([TEAM]) replaces [PLAYER].,[PLAYER] ([TEAM]) can't expect anything else than a yellow card for his hard tackle. And a yellow it is. [REFEREE] didn't think twice about pulling it out of his pocket.
spain_laliga_2016-2017,2017-03-12 - 22-45 Real Madrid 2 - 1 Betis,1,1878,,"[PLAYER] ([TEAM]) takes the free kick and sends the ball into the penalty area, but the opposition's defence is ready.","The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets it clear."
england_epl_2015-2016,2015-10-24 - 17-00 West Ham 2 - 1 Chelsea,1,1952,,"[PLAYER] ([TEAM]) produces a mid-range free kick and sends a daisy-cutter towards the left post, but the goalkeeper makes a good save and stops his effort.",The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The referee and his assistant both point at the corner flag. [TEAM] will have an opportunity to threaten the opposition's goal.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2717,y-card,[PLAYER] ([TEAM]) gets a yellow card. The referee [REFEREE] made the right call.,[PLAYER] ([TEAM]) fails to beat the offside trap and the linesman puts his flag up.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2690,,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and blows his whistle.,"[PLAYER] ([TEAM]) sends a long ball in, but [PLAYER] comfortably gathers the ball."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2581,,"What a wasted opportunity by [PLAYER] ([TEAM])! He creates some space for himself inside the penalty box and unleashes a decent strike towards the middle of the net, but [PLAYER] makes a comfortable save to thwart him.","[PLAYER] ([TEAM]) looks to break free, but an opposing player clears the ball away. [TEAM] force a corner. They send men into the box."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2518,,[PLAYER] ([TEAM]) makes a strong challenge and [REFEREE] blows for a foul.,[PLAYER] ([TEAM]) takes the free kick but it is cleared by the first defender.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2399,soccer-ball,Goal! That was a fantastic finish by [PLAYER] ([TEAM]) from just outside the box. He wasted little time in getting away a bullet of a shot that flew past the goalkeeper into the left side of the net.,"[PLAYER] ([TEAM]) receives a precise pass inside the box, but his effort on goal is blocked by the defender."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2281,substitution,The manager makes a subsitution with [PLAYER] ([TEAM]) coming on for [PLAYER].,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2105,,"[PLAYER] ([TEAM]) gets into a good scoring position. He creates some space for himself and tries his luck from distance. His decent effort towards the right post is, however, superbly saved by [PLAYER]!",The [TEAM] players keep the ball and are exchanging a combination of passes. They are waiting for gaps in the defence to open up.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2103,y-card,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests.",The [TEAM] players keep the ball and are exchanging a combination of passes. They are waiting for gaps in the defence to open up.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2036,soccer-ball,[PLAYER] delivers a well-placed cross from the corner. [PLAYER] ([TEAM]) wins the ball and powers an unstoppable header in off the right post. The score now reads 2:0.,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2035,corner,[PLAYER] ([TEAM]) is heading toward the corner flag to take the set piece.,The referee signals that it is time for a substitution and [PLAYER] ([TEAM]) is coming onto the pitch as [PLAYER] cannot continue after picking up an injury.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2030,substitution,[COACH] has decided to make a change. [PLAYER] ([TEAM]) replaces [PLAYER].,[PLAYER] ([TEAM]) can't expect anything else than a yellow card for his hard tackle. And a yellow it is. [REFEREE] didn't think twice about pulling it out of his pocket.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2013,substitution,[PLAYER] will be replaced by [PLAYER] ([TEAM]).,[PLAYER] ([TEAM]) is heading toward the corner flag to take the set piece.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1976,,"[PLAYER] ([TEAM]) sends a pass into the penalty area, but the opponent manages to cut it out. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag.",The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1956,,"Half-chance! [PLAYER] ([TEAM]) plays a pass into the box, but [PLAYER] reacts well to snuff out the attack.",[PLAYER] ([TEAM]) is penalised for holding. [REFEREE] signals a set piece. [TEAM] will take a free kick near the side line.
